,FORM_PARENT,FORM_GRAND_PARENT,FORM_CHILD_1,FORM_CHILD_2,FORM_CHILD_3
42826,passou,diz,A,de,
42827,Guarda_Nacional,passou,Venezuela,,
42828,Venezuela,de,,,
42829,de,Guarda_Nacional,a,,
42830,diz,,Guarda_Nacional,a,conversar
42831,passou,diz,,,
42832,passou,diz,com,e,a
42833,conversar,passou,índios,,
42834,índios,com,,,
42835,com,conversar,os,,
42836,conversar,passou,,,
42837,conversar,passou,convencê-,,
42838,a,conversar,los,de,
42839,convencê-,a,,,
42840,convencê-,a,fazer,,
42841,de,convencê-,papel,",",
42842,papel,fazer,,,
42843,fazer,de,o,de,
42844,papel,fazer,ela,,
42845,de,papel,,,
42846,fazer,de,,,
42847,conversar,passou,,,
42848,passou,diz,,,
42849,conversar,passou,garimpeiros,",",
42850,garimpeiros,reprimir,,,
42851,reprimir,conversar,os,»,
42852,garimpeiros,reprimir,,,
42853,reprimir,conversar,,,
42854,,,passou,Altino,.
42855,diz,,,,
42856,diz,,,,
42857,jovens,têm,,,
42858,têm,,Os,,
42859,,,jovens,encontrado,","
42860,encontrado,têm,,,
42861,têm,,se,em,entre
42862,encontrado,têm,Atalaia,,
42863,em,encontrado,,,
42864,têm,,,,
42865,entre,encontrado,,,
42866,encontrado,têm,principalmente,quarta-feira,
42867,entre,encontrado,e,domingo,
42868,quarta-feira,entre,,,
42869,quarta-feira,entre,,,
42870,têm,,,,
42871,realizados,são,,,
42872,encontrado,têm,realizados,jogos,
42873,são,encontrado,quando,,
42874,são,encontrado,de,,
42875,jogos,são,voleibol,,
42876,de,jogos,,,
42877,têm,,,,
42878,maioria,atuava,,,
42879,atuava,,A,de,
42880,maioria,atuava,jogadores,,
42881,jogadores,de,,,
42882,jogadores,de,,,
42883,de,maioria,os,bons,brasileiros
42884,jogadores,de,,,
42885,,,maioria,em,.
42886,atuava,,clubes,,
42887,em,atuava,profissionais,",",filiados
42888,clubes,em,,,
42889,clubes,em,,,
42890,clubes,em,a,,
42891,filiados,clubes,FBF,,
42892,FBF,a,,,
42893,a,filiados,a,,
42894,atuava,,,,
42895,houve,,,,
42896,,,Não,acordo,durante
42897,houve,,para,,
42898,acordo,houve,trégua,,
42899,trégua,para,,,
42900,para,acordo,uma,,
42901,houve,,Copa,,
42902,Copa,durante,,,
42903,durante,houve,a,,
42904,houve,,,,
42905,solução,foi,,,
42906,foi,,A,,
42907,,,solução,negociar,.
42908,foi,,diretamente,com,
42909,negociar,foi,,,
42910,negociar,foi,jogadores,,
42911,jogadores,com,,,
42912,com,negociar,os,,
42913,foi,,,,
42914,CBD,aliciou,,,
42915,aliciou,,A,,
42916,,,CBD,Leônidas,","
42917,aliciou,,(,Vasco,)
42918,Leônidas,aliciou,,,
42919,Leônidas,aliciou,,,
42920,Leônidas,aliciou,,,
42921,Leônidas,aliciou,,,
42922,Leônidas,aliciou,e,Waldemar_de_Brito,(
42923,Luizinho,Leônidas,,,
42924,Luizinho,Leônidas,,,
42925,Luizinho,Leônidas,,,
42926,Luizinho,Leônidas,,,
42927,Luizinho,Leônidas,,,
42928,aliciou,,,,
42929,aliciou,,outros,,
42930,entre,aliciou,,,
42931,aliciou,,,,
42932,,,época,.,
42933,época,Era,,,
42934,Era,,uma,imperavam,
42935,imperavam,época,que,,
42936,em,imperavam,,,
42937,cariocas,imperavam,,,
42938,imperavam,época,os,,
42939,época,Era,em,cariocas,em
42940,imperavam,época,campo,e,fora_de
42941,em,imperavam,,,
42942,em,imperavam,,,
42943,em,imperavam,ele,,
42944,fora_de,em,,,
42945,Era,,,,
42946,apontava,,razões,,
42947,Por,apontava,desconhece,,
42948,desconhece,razões,,,
42949,razão,desconhece,,,
42950,razão,desconhece,,,
42951,desconhece,razões,a,própria,
42952,razões,Por,que,razão,
42953,apontava,,,,
42954,apontava,,sorteio,,
42955,sorteio,em,,,
42956,em,apontava,o,de,
42957,sorteio,em,local,,
42958,local,de,,,
42959,de,sorteio,o,de,
42960,local,de,jogo,,
42961,jogo,de,,,
42962,de,local,o,decisivo,
42963,jogo,de,,,
42964,apontava,,,,
42965,bolinha,apontava,,,
42966,apontava,,a,,
42967,sempre,apontava,,,
42968,apontava,,quase,,
42969,,,Por,",",em
42970,estádio,apontava,,,
42971,estádio,apontava,,,
42972,apontava,,o,assustador,de
42973,estádio,apontava,São_Januário,,
42974,de,estádio,,,
42975,apontava,,,,
42976,torcedor,sonhava,,,
42977,sonhava,,O,paulista,
42978,torcedor,sonhava,,,
42979,,,torcedor,com,.
42980,sonhava,,era,,
42981,era,com,,,
42982,com,sonhava,uma,futura,","
42983,era,com,,,
42984,era,com,,,
42985,chegaria,era,que,,
42986,em,chegaria,,,
42987,chegaria,era,,,
42988,era,com,em,São_Paulo,a
42989,chegaria,era,supremacia,,
42990,supremacia,a,,,
42991,a,chegaria,a,",",se
42992,supremacia,a,,,
42993,supremacia,a,possível,de,
42994,se,supremacia,,,
42995,se,supremacia,forma,,
42996,de,se,arrasadora,,
42997,forma,de,,,
42998,sonhava,,,,
42999,,,se,anos,e
43000,Passaram-,,,,
43001,anos,Passaram-,,,
43002,anos,Passaram-,,,
43003,Passaram-,,uns,50,
43004,Passaram-,,,,
43005,sonho,realizou,,,
43006,realizou,Passaram-,o,,
43007,realizou,Passaram-,,,
43008,Passaram-,,sonho,se,","
43009,realizou,Passaram-,,,
43010,realizou,Passaram-,alegria,também,","
43011,trazendo,realizou,e,,
43012,alegria,trazendo,,,
43013,trazendo,realizou,,,
43014,trazendo,realizou,,,
43015,trazendo,realizou,,,
43016,trazendo,realizou,,,
43017,trazendo,realizou,,,
43018,Passaram-,,,,
43019,há,,,,
43020,,,Já_não,império,para
43021,império,há,,,
43022,há,,o,de,
43023,império,há,mal,,
43024,mal,de,,,
43025,de,império,o,,
43026,há,,combater,,
43027,para,há,,,
43028,há,,,,
43029,são,,",",Botafogo,","
43030,Vasco,são,,,
43031,Vasco,são,,,
43032,Vasco,são,,,
43033,Vasco,são,,,
43034,Vasco,são,,,
43035,Flamengo,Vasco,,,
43036,Flamengo,Vasco,,,
43037,Vasco,são,até,o,
43038,,,Vasco,fantasmas,.
43039,são,,de,,
43040,fantasmas,são,passado,,
43041,passado,de,,,
43042,de,fantasmas,o,,
43043,são,,,,
43044,bombeiro,suspeita,,,
43045,suspeita,,O,,
43046,,,bombeiro,tenha,.
43047,tenha,suspeita,,,
43048,golfinho,tenha,,,
43049,tenha,suspeita,o,,
43050,suspeita,,que,golfinho,morrido
43051,tenha,suspeita,afogado,,
43052,morrido,tenha,,,
43053,suspeita,,,,
43054,teria,,,,
43055,,,Ele,ficado,.
43056,teria,,preso,,
43057,ficado,teria,em,sem,
43058,preso,ficado,rede,,
43059,rede,em,,,
43060,em,preso,uma,de,
43061,rede,em,pesca,,
43062,de,rede,,,
43063,preso,ficado,condições,,
43064,sem,preso,de,,
43065,condições,sem,subir,,
43066,de,condições,a,para,
43067,subir,de,tona,,
43068,tona,a,,,
43069,a,subir,a,,
43070,subir,de,respirar,,
43071,para,subir,,,
43072,teria,,,,
43073,bombeiros,pediram,,,
43074,pediram,,Os,,
43075,,,bombeiros,ajuda,a
43076,pediram,,,,
43077,pediram,,Cebimar,,
43078,Cebimar,a,,,
43079,a,pediram,o,(,Centro_de_Biologia_Marinha
43080,Cebimar,a,,,
43081,Cebimar,a,,,
43082,Cebimar,a,,,
43083,Cebimar,a,USP,,
43084,USP,de,,,
43085,de,Cebimar,a,,
43086,pediram,,apurar,,
43087,para,pediram,causas,,
43088,causas,apurar,,,
43089,apurar,para,as,de,
43090,causas,apurar,morte,,
43091,morte,de,,,
43092,de,causas,a,de,
43093,morte,de,golfinho,,
43094,golfinho,de,,,
43095,de,morte,o,,
43096,pediram,,,,
43097,retirado,havia,17h,,
43098,17h,Até,,,
43099,Até,retirado,as,,
43100,havia,,,,
43101,Prefeitura,havia,,,
43102,havia,,a,de,
43103,Prefeitura,havia,Caraguatatuba,,
43104,de,Prefeitura,,,
43105,retirado,havia,,,
43106,,,",",Prefeitura,retirado
43107,havia,,Até,não,golfinho
43108,golfinho,retirado,,,
43109,retirado,havia,o,,
43110,retirado,havia,praia,,
43111,praia,de,,,
43112,de,retirado,a,,
43113,havia,,,,
43114,governo,vai,,,
43115,vai,garantiu,O,,
43116,garantiu,,governo,usar,
43117,vai,garantiu,URV,para,
43118,URV,usar,,,
43119,usar,vai,a,,
43120,usar,vai,corrigir,,
43121,para,usar,impostos,,
43122,corrigir,para,,,
43123,garantiu,,,,
43124,,,vai,",",FHC
43125,garantiu,,,,
43126,garantiu,,,,
43127,é,,,,
43128,URV,é,,,
43129,é,,A,,
43130,,,«,URV,produzida
43131,é,,por,,
43132,produzida,é,índices,,
43133,índices,por,,,
43134,por,produzida,três,,
43135,é,,,,
43136,é,,,,
43137,é,é,de,,
43138,um,é,índices,,
43139,índices,de,,,
43140,de,um,os,,
43141,é,,um,mesmo,
43142,mesmo,é,,,
43143,é,é,o,de,
43144,mesmo,é,Ufir,,
43145,Ufir,de,,,
43146,de,mesmo,a,,
43147,é,,,,
43148,explicou,,ter,",",
43149,Vai,explicou,paridade,desde,
43150,ter,Vai,,,
43151,Vai,explicou,,,
43152,desde,ter,,,
43153,ter,Vai,já,começo,
43154,começo,desde,,,
43155,desde,ter,o,,
43156,explicou,,,,
43157,explicou,,,,
43158,,,Vai,»,","
43159,explicou,,,,
43160,fixadas,serão,tarifas,,
43161,tarifas,Quanto_a,,,
43162,Quanto_a,fixadas,as,públicas,
43163,tarifas,Quanto_a,,,
43164,serão,,,,
43165,fixadas,serão,,,
43166,,,",",fixadas,","
43167,serão,,Quanto_a,não,em
43168,fixadas,serão,URV,,
43169,em,fixadas,,,
43170,fixadas,serão,evitar,,
43171,para,fixadas,reajustes,,
43172,evitar,para,diários,,
43173,reajustes,evitar,,,
43174,serão,,,,
43175,serão,,,,
43176,serão,,correções,por,
43177,terão,serão,periódicas,,
43178,correções,terão,,,
43179,terão,serão,indexador,,
43180,indexador,por,,,
43181,por,terão,o,,
43182,serão,,,,
43183,cresceu,,,,
43184,,,Lula,e,prosperou
43185,cresceu,,,,
43186,cresceu,,,,
43187,dava,cresceu,,,
43188,dava,cresceu,,,
43189,cresceu,,enquanto,tudo,errado
43190,dava,cresceu,,,
43191,dava,cresceu,país,,
43192,país,em,,,
43193,em,dava,o,,
43194,cresceu,,,,
43195,vou,,,,
43196,reajustar,vou,ponto,,
43197,ponto,De,,,
43198,De,reajustar,o,de,de
43199,ponto,De,vista,,
43200,de,ponto,,,
43201,ponto,De,proteção,,
43202,de,ponto,a,,
43203,proteção,de,consumidor,,
43204,consumidor,a,,,
43205,a,proteção,o,,
43206,vou,,,,
43207,,,«,",",reajustar
43208,vou,,De,preço,fosse
43209,preço,reajustar,,,
43210,reajustar,vou,o,de,
43211,preço,reajustar,tarifa,,
43212,tarifa,de,,,
43213,de,preço,a,pública,em
43214,tarifa,de,,,
43215,tarifa,de,dia,,
43216,dia,em,,,
43217,em,tarifa,o,normal,
43218,dia,em,,,
43219,fosse,reajustar,,,
43220,fosse,reajustar,,,
43221,reajustar,vou,como_se,ela,URV
43222,fosse,reajustar,,,
43223,vou,,,,
43224,disse,,",",por,
43225,Ou_seja,disse,,,
43226,Ou_seja,disse,média,,
43227,média,por,,,
43228,por,Ou_seja,a,real,de
43229,média,por,,,
43230,média,por,meses,,
43231,meses,de,,,
43232,meses,de,,,
43233,meses,de,,,
43234,de,média,os,últimos,quatro
43235,disse,,,,
43236,disse,,,,
43237,,,Ou_seja,»,","
43238,disse,,,,
43239,,,beneficiados,:,
43240,Serão,,demoram,,
43241,demoram,beneficiados,,,
43242,demoram,beneficiados,,,
43243,beneficiados,Serão,porque,hoje,até
43244,demoram,beneficiados,dias,,
43245,dias,até,,,
43246,até,demoram,12,,
43247,demoram,beneficiados,receber,,
43248,para,demoram,benefícios,,
43249,benefícios,receber,,,
43250,receber,para,seus,",",vinculados
43251,benefícios,receber,,,
43252,benefícios,receber,a,,
43253,vinculados,benefícios,salário,,
43254,salário,a,,,
43255,a,vinculados,o,mínimo,
43256,salário,a,,,
43257,Serão,,,,
43258,ganham,,,,
43259,milhões,ganham,,,
43260,ganham,,Onze,de,
43261,milhões,ganham,aposentados,,
43262,de,milhões,,,
43263,,,«,milhões,mínimo
43264,ganham,,,,
43265,ganham,,,,
43266,vão,,,,
43267,,,Esses,ter,","
43268,vão,,aumento,por,
43269,aumento,ter,,,
43270,ter,vão,um,real,
43271,aumento,ter,,,
43272,vão,,,,
43273,ter,vão,o,,
43274,por,ter,disse,,
43275,disse,o,,,
43276,o,por,que,ministro,","
43277,ministro,disse,,,
43278,disse,o,o,Cutolo,(
43279,ministro,disse,,,
43280,ministro,disse,,,
43281,ministro,disse,",",de,
43282,Sérgio,ministro,,,
43283,Sérgio,ministro,Previdência,,
43284,Previdência,de,,,
43285,de,Sérgio,a,,
43286,ministro,disse,,,
43287,disse,o,,,
43288,disse,o,passagem,,
43289,passagem,em,,,
43290,em,disse,a,,
43291,disse,o,URV,,
43292,URV,para,,,
43293,para,disse,a,",",de
43294,URV,para,,,
43295,URV,para,$%,,
43296,$%,de,,,
43297,de,URV,17,,
43298,vão,,,,
43299,ter,vão,,,
43300,vão,,,,
43301,,,alguns,ter,»
43302,vão,,E,de,
43303,ter,vão,$%,,
43304,$%,de,,,
43305,de,ter,30,,
43306,vão,,,,
43307,vão,,,,
43308,atribuiu,,,,
43309,,,Ele,discussão,a
43310,discussão,atribuiu,,,
43311,atribuiu,,a,sobre,
43312,discussão,atribuiu,valor,,
43313,valor,sobre,,,
43314,sobre,discussão,o,de,
43315,valor,sobre,benefícios,,
43316,benefícios,de,,,
43317,de,valor,os,,
43318,atribuiu,,ilusão,,
43319,ilusão,a,,,
43320,ilusão,a,,,
43321,a,atribuiu,uma,«,monetária
43322,ilusão,a,,,
43323,ilusão,a,,,
43324,atribuiu,,,,
43325,pensam,,,,
43326,pessoas,pensam,,,
43327,pensam,,As,,
43328,,,«,pessoas,recebem
43329,recebem,pensam,,,
43330,pensam,,que,US$,
43331,recebem,pensam,80,,
43332,US$,recebem,,,
43333,pensam,,,,
43334,pensam,,,,
43335,dias,depois,,,
43336,depois,é,30,,
43337,é,pensam,dias,,
43338,valor,é,,,
43339,é,pensam,esse,,
43340,pensam,,depois,valor,menor
43341,menor,é,,,
43342,é,pensam,muito,,
43343,pensam,,,,
43344,pensam,,,,
43345,viu,,festa,,
43346,festa,Encerrada,,,
43347,Encerrada,viu,a,,
43348,viu,,,,
43349,viu,,,,
43350,,,Encerrada,",",Maluly
43351,rapaz,esperando,,,
43352,esperando,viu,o,,
43353,viu,,rapaz,,
43354,viu,,,,
43355,deputado,aproximou,,,
43356,aproximou,,O,,
43357,aproximou,,,,
43358,,,deputado,se,.
43359,aproximou,,,,
43360,precisava,,,,
43361,,,Eu,de,","
43362,precisava,,ajuda,,
43363,ajuda,de,,,
43364,de,precisava,uma,de,
43365,ajuda,de,senhor,,
43366,senhor,de,,,
43367,de,ajuda,o,,
43368,precisava,,,,
43369,precisava,,,,
43370,precisava,,,,
43371,vai,,Charles,,
43372,Príncipe,vai,,,
43373,,,Príncipe,a,
43374,vai,,inauguração,,
43375,a,vai,,,
43376,Príncipe,fez,,,
43377,fez,,O,Charles,","
43378,Príncipe,fez,,,
43379,Príncipe,fez,,,
43380,Príncipe,fez,Reino_Unido,,
43381,Reino_Unido,de,,,
43382,de,Príncipe,o,,
43383,Príncipe,fez,,,
43384,,,Príncipe,respiração,em
43385,fez,,boca-a-boca,,
43386,respiração,fez,,,
43387,fez,,boneco,,
43388,boneco,em,,,
43389,em,fez,um,(,foto
43390,boneco,em,,,
43391,boneco,em,,,
43392,boneco,em,,,
43393,fez,,inauguração,,
43394,inauguração,em,,,
43395,em,fez,a,de,
43396,inauguração,em,prédio,,
43397,prédio,de,,,
43398,prédio,de,,,
43399,de,inauguração,o,novo,de
43400,prédio,de,Centro_de_Ambulâncias,,
43401,Centro_de_Ambulâncias,de,,,
43402,de,prédio,o,de,
43403,Centro_de_Ambulâncias,de,Wellington,,
43404,de,Centro_de_Ambulâncias,",",capital,
43405,Wellington,de,,,
43406,Wellington,de,de,,
43407,capital,Wellington,Nova_Zelândia,,
43408,Nova_Zelândia,de,,,
43409,de,capital,a,,
43410,fez,,,,
43411,afetar,vão,eles,,
43412,Segundo,afetar,,,
43413,vão,,,,
43414,laços,vão,,,
43415,vão,,os,com,
43416,laços,vão,aliança,,
43417,aliança,com,,,
43418,com,laços,a,,
43419,afetar,vão,,,
43420,,,",",laços,afetar
43421,vão,,Segundo,não,relações
43422,relações,afetar,,,
43423,afetar,vão,as,com,
43424,relações,afetar,Rússia,,
43425,Rússia,com,,,
43426,com,relações,a,,
43427,vão,,,,
43428,é,,,,
43429,,,Não,verdade,","
43430,é,,,,
43431,é,,,,
43432,diz,é,,,
43433,é,,como,Gusmão,
43434,diz,é,,,
43435,é,,,,
43436,tenha,é,,,
43437,missão,tenha,,,
43438,tenha,é,a,enviada,
43439,missão,tenha,a,,
43440,enviada,missão,Israel,,
43441,a,enviada,,,
43442,é,,que,missão,feito
43443,tenha,é,confronto,,
43444,confronto,feito,,,
43445,feito,tenha,«,de,»
43446,confronto,feito,preços,,
43447,de,confronto,,,
43448,confronto,feito,,,
43449,é,,,,
43450,evidências,foram,,,
43451,foram,,As,de,
43452,evidências,foram,superfaturamento,,
43453,de,evidências,,,
43454,,,evidências,levantadas,.
43455,foram,,por,,
43456,levantadas,foram,professores,,
43457,professores,por,,,
43458,por,levantadas,os,Armando_Laganá,","
43459,professores,por,e,Márcio_Rillo,
43460,Armando_Laganá,professores,,,
43461,Armando_Laganá,professores,,,
43462,professores,por,,,
43463,professores,por,USP,,
43464,USP,de,,,
43465,de,professores,a,,
43466,professores,por,,,
43467,professores,por,de,,
43468,a_pedido,professores,Folha,,
43469,Folha,de,,,
43470,de,a_pedido,a,,
43471,foram,,,,
43472,sucesso,estava,,,
43473,estava,,Seu,,
43474,,,sucesso,",",essencialmente
43475,estava,,,,
43476,estava,,,,
43477,estava,,,,
43478,estava,,em,,
43479,sustentado,estava,fracasso,,
43480,fracasso,em,,,
43481,em,sustentado,o,,
43482,estava,,,,
43483,confirmadas,foram,em,,
43484,Sustentadas,confirmadas,depoimentos,,
43485,em,Sustentadas,a,,
43486,depoimentos,em,PF,,
43487,PF,a,,,
43488,a,depoimentos,a,,
43489,foram,,,,
43490,,,",",confirmadas,.
43491,foram,,Sustentadas,em,
43492,confirmadas,foram,perícias,,
43493,perícias,em,,,
43494,em,confirmadas,três,,
43495,foram,,,,
43496,última,comprovou,,,
43497,comprovou,,A,de,","
43498,última,comprovou,elas,,
43499,de,última,,,
43500,última,comprovou,,,
43501,última,comprovou,participação,,
43502,participação,com,,,
43503,com,última,a,de,
43504,participação,com,cientistas,,
43505,cientistas,de,,,
43506,de,participação,três,,
43507,última,comprovou,,,
43508,,,última,superfaturamento,.
43509,comprovou,,de,,
43510,superfaturamento,comprovou,$%,,
43511,$%,de,,,
43512,de,superfaturamento,343,,
43513,comprovou,,,,
43514,acusa,,,,
43515,,,Cingapura,americano,
43516,americano,acusa,,,
43517,americano,acusa,,,
43518,acusa,,mais,um,
43519,compareceu,,",",16,(
43520,Stephen_Freehill,compareceu,,,
43521,Stephen_Freehill,compareceu,,,
43522,Stephen_Freehill,compareceu,,,
43523,Stephen_Freehill,compareceu,,,
43524,Stephen_Freehill,compareceu,,,
43525,Stephen_Freehill,compareceu,,,
43526,,,Stephen_Freehill,ontem,a
43527,compareceu,,,,
43528,compareceu,,tribunal,,
43529,tribunal,a,,,
43530,a,compareceu,um,de,
43531,tribunal,a,Cingapura,,
43532,de,tribunal,,,
43533,compareceu,,audiência,,
43534,audiência,para,,,
43535,para,compareceu,uma,preliminar,
43536,audiência,para,,,
43537,compareceu,,,,
43538,é,,,,
43539,,,Ele,acusado,.
43540,é,,de,,
43541,acusado,é,vandalismo,,
43542,de,acusado,,,
43543,é,,,,
43544,,,ser,",",.
43545,Pode,,condenado,,
43546,ser,Pode,a,como,
43547,condenado,ser,açoite,,
43548,açoite,a,,,
43549,a,condenado,o,,
43550,Pode,,,,
43551,condenado,ser,compatriota,,
43552,compatriota,como,,,
43553,como,condenado,seu,Michael_Fay,","
43554,compatriota,como,,,
43555,compatriota,como,,,
43556,compatriota,como,,,
43557,compatriota,como,,,
43558,compatriota,como,em,,
43559,preso,compatriota,ocasião,,
43560,ocasião,em,,,
43561,ocasião,em,,,
43562,em,preso,a,mesma,
43563,Pode,,,,
43564,foi,,,,
43565,,,Fay,punido,e
43566,foi,,com,,
43567,punido,foi,vergastadas,,
43568,vergastadas,com,,,
43569,com,punido,quatro,,
43570,foi,,,,
43571,cumpre,foi,,,
43572,foi,,agora,pena,
43573,cumpre,foi,de,,
43574,pena,cumpre,prisão,,
43575,de,pena,,,
43576,foi,,,,
43577,tomam,,,,
43578,,,Norte-iemenitas,base,
43579,tomam,,de,,
43580,base,tomam,sul,,
43581,sul,de,,,
43582,de,base,o,,
43583,anunciaram,,de,,
43584,Forças,anunciaram,norte,,
43585,norte,de,,,
43586,de,Forças,o,de,
43587,norte,de,Iêmen,,
43588,Iêmen,de,,,
43589,de,norte,o,,
43590,,,Forças,tomada,.
43591,tomada,anunciaram,,,
43592,anunciaram,,a,de,
43593,tomada,anunciaram,base,,
43594,base,de,,,
43595,de,tomada,a,aérea,de
43596,base,de,,,
43597,base,de,Al_Anad,,
43598,de,base,,,
43599,base,de,,,
43600,principal,base,,,
43601,base,de,a,de,
43602,principal,base,sul-iemenitas,,
43603,sul-iemenitas,de,,,
43604,de,principal,os,,
43605,anunciaram,,,,
43606,base,fica,,,
43607,fica,,A,,
43608,,,base,a,.
43609,fica,,km,,
43610,km,a,,,
43611,km,a,,,
43612,a,fica,apenas,50,de
43613,km,a,Áden,,
43614,de,km,",",capital,
43615,Áden,de,,,
43616,capital,Áden,,,
43617,Áden,de,a,de,
43618,capital,Áden,sul,,
43619,sul,de,,,
43620,de,capital,o,,
43621,fica,,,,
43622,ficaram,,clima,,
43623,clima,Em,,,
43624,Em,ficaram,o,de,
43625,clima,Em,sinistrose,,
43626,de,clima,,,
43627,ficaram,,,,
43628,fragilidades,ficaram,,,
43629,ficaram,,as,de,
43630,fragilidades,ficaram,PT,,
43631,PT,de,,,
43632,de,fragilidades,o,,
43633,ficaram,,,,
43634,,,Em,",",fragilidades
43635,visíveis,ficaram,,,
43636,ficaram,,tão,a,dificuldade
43637,visíveis,ficaram,opinião_pública,:,
43638,opinião_pública,a,,,
43639,a,visíveis,a,,
43640,a,visíveis,,,
43641,dificuldade,visíveis,,,
43642,visíveis,ficaram,a,de,
43643,dificuldade,visíveis,fazerem,,
43644,fazerem,de,,,
43645,de,dificuldade,se,alianças,virasse
43646,fazerem,de,capazes,,
43647,alianças,fazerem,de,,
43648,capazes,alianças,sustentar,,
43649,de,capazes,Lula,,
43650,sustentar,de,,,
43651,virasse,fazerem,,,
43652,fazerem,de,quando,presidente,
43653,virasse,fazerem,,,
43654,visíveis,ficaram,,,
43655,aloprados,visíveis,,,
43656,visíveis,ficaram,os,conquistaram,
43657,conquistaram,aloprados,,,
43658,aloprados,visíveis,que,posições,em
43659,conquistaram,aloprados,estratégicas,,
43660,posições,conquistaram,,,
43661,conquistaram,aloprados,partido,,
43662,partido,em,,,
43663,em,conquistaram,o,,
43664,visíveis,ficaram,,,
43665,falta,visíveis,,,
43666,visíveis,ficaram,a,de,
43667,falta,visíveis,convicção,,
43668,convicção,de,,,
43669,de,falta,generalizada,sobre,
43670,convicção,de,valor,,
43671,valor,sobre,,,
43672,sobre,convicção,o,de,
43673,valor,sobre,democracia,,
43674,democracia,de,,,
43675,de,valor,a,,
43676,ficaram,,,,
43677,guerra,começou,,,
43678,começou,,A,,
43679,,,guerra,há,por_causa_de
43680,começou,,dias,,
43681,dias,há,,,
43682,há,começou,13,,
43683,começou,,confronto,,
43684,confronto,por_causa_de,,,
43685,por_causa_de,começou,um,entre,
43686,confronto,por_causa_de,presidente,,
43687,presidente,entre,,,
43688,entre,confronto,o,Ali_Abdulllah_Saleh,e
43689,presidente,entre,,,
43690,presidente,entre,,,
43691,vice,presidente,,,
43692,presidente,entre,seu,,
43693,começou,,,,
43694,resposta,foi,,,
43695,foi,diz,A,a,
43696,resposta,foi,pedido,,
43697,pedido,a,,,
43698,a,resposta,o,de,
43699,pedido,a,ajuda,,
43700,de,pedido,,,
43701,diz,,resposta,gigantesca,
43702,foi,diz,,,
43703,diz,,,,
43704,diz,,,,
43705,,,foi,»,","
43706,diz,,",",porta-voz,
43707,Virginia_de_la_Guardia,diz,,,
43708,Virginia_de_la_Guardia,diz,de,,
43709,porta-voz,Virginia_de_la_Guardia,Médicos_Sem_Fronteiras,,
43710,Médicos_Sem_Fronteiras,de,,,
43711,de,porta-voz,a,,
43712,diz,,,,
43713,maioria,são,,,
43714,são,,A,de,
43715,maioria,são,voluntários,,
43716,voluntários,de,,,
43717,de,maioria,os,,
43718,,,maioria,jovens,.
43719,são,,,,
43720,são,,,,
43721,diz,,Pepe,,
43722,Técnico,diz,,,
43723,,,Técnico,falta,
43724,falta,diz,,,
43725,diz,,que,talento,a
43726,falta,diz,,,
43727,falta,diz,Santos,,
43728,Santos,a,,,
43729,a,falta,o,,
43730,Santos,volta,,,
43731,volta,,O,,
43732,,,Santos,a,viver
43733,volta,,,,
43734,volta,,clima,para,domingo
43735,clima,viver,,,
43736,viver,volta,um,tenso,
43737,clima,viver,,,
43738,viver,volta,jogo,,
43739,jogo,para,,,
43740,jogo,para,,,
43741,para,viver,o,próximo,
43742,volta,,,,
43743,viver,volta,,,
43744,viver,volta,Santo_André,,
43745,Santo_André,contra,,,
43746,contra,viver,o,,
43747,volta,,,,
43748,viver,volta,busca,,
43749,em,viver,de,,
43750,busca,em,vitória,,
43751,vitória,de,,,
43752,vitória,de,,,
43753,de,busca,a,primeira,em
43754,vitória,de,Campeonato_Paulista,,
43755,Campeonato_Paulista,em,,,
43756,em,vitória,o,,
43757,volta,,,,
43758,técnico,disse,,,
43759,disse,,O,Pepe,
43760,técnico,disse,",",irritado,","
43761,Pepe,técnico,,,
43762,Pepe,técnico,com,,
43763,irritado,Pepe,atuação,,
43764,atuação,com,,,
43765,com,irritado,a,de,em
43766,atuação,com,time,,
43767,time,de,,,
43768,de,atuação,o,,
43769,atuação,com,empate,,
43770,empate,em,,,
43771,em,atuação,o,em,com
43772,empate,em,1,,
43773,em,empate,a,,
43774,1,em,1,,
43775,a,1,,,
43776,empate,em,Ituano,,
43777,com,empate,,,
43778,atuação,com,,,
43779,Pepe,técnico,,,
43780,,,técnico,«,está
43781,disse,,,,
43782,está,disse,,,
43783,disse,,que,faltando,
43784,está,disse,tranquilidade,a,
43785,faltando,está,e,talento,
43786,tranquilidade,faltando,,,
43787,tranquilidade,faltando,,,
43788,faltando,está,jogadores,,
43789,jogadores,a,,,
43790,a,faltando,os,,
43791,disse,,,,
43792,disse,,,,
43793,tem,,,,
43794,tem,,,,
43795,,,Pepe,ainda,esperança
43796,tem,,renove,,
43797,renove,esperança,,,
43798,centroavante,renove,,,
43799,renove,esperança,o,Guga,
43800,centroavante,renove,,,
43801,esperança,tem,que,centroavante,contrato
43802,contrato,renove,,,
43803,contrato,renove,,,
43804,renove,esperança,o,seu,","
43805,contrato,renove,,,
43806,contrato,renove,em,,
43807,vencido,contrato,31,,
43808,em,vencido,de,,
43809,31,em,dezembro,,
43810,de,31,,,
43811,tem,,,,
43812,tem,afirmou,,,
43813,acontecer,ser,,,
43814,acontecer,ser,,,
43815,ser,tem,Se,isso,
43816,tem,afirmou,,,
43817,afirmou,,«,",",que
