,FUNC-3,FUNC-2,FUNC-1,FUNC+1,FUNC+2,FUNC+3
47561,ADVL,>N,P<,>N,P<,N<
47562,>N,P<,N<,P<,N<,>N
47563,P<,N<,>N,N<,>N,P<
47564,N<,>N,P<,>N,P<,PU
47565,>N,P<,N<,P<,PU,
47566,P<,N<,>N,PU,,
47567,N<,>N,P<,,,
47568,,,,SUB,>N,SUBJ
47569,,,STA,>N,SUBJ,N<
47570,,STA,SUB,SUBJ,N<,ACC
47571,STA,SUB,>N,N<,ACC,N<PRED
47572,SUB,>N,SUBJ,ACC,N<PRED,MV
47573,>N,SUBJ,N<,N<PRED,MV,ADVL
47574,SUBJ,N<,ACC,MV,ADVL,>N
47575,N<,ACC,N<PRED,ADVL,>N,P<
47576,ACC,N<PRED,MV,>N,P<,ADVL
47577,N<PRED,MV,ADVL,P<,ADVL,P<
47578,MV,ADVL,>N,ADVL,P<,N<
47579,ADVL,>N,P<,P<,N<,P<
47580,>N,P<,ADVL,N<,P<,PU
47581,P<,ADVL,P<,P<,PU,
47582,ADVL,P<,N<,PU,,
47583,P<,N<,P<,,,
47584,,,,P<,>N,ACC
47585,,,ADVL,>N,ACC,N<
47586,,ADVL,P<,ACC,N<,>N
47587,ADVL,P<,>N,N<,>N,P<
47588,P<,>N,ACC,>N,P<,PU
47589,>N,ACC,N<,P<,PU,SUBJ
47590,ACC,N<,>N,PU,SUBJ,STA
47591,N<,>N,P<,SUBJ,STA,>N
47592,>N,P<,PU,STA,>N,ACC
47593,P<,PU,SUBJ,>N,ACC,N<
47594,PU,SUBJ,STA,ACC,N<,P<
47595,SUBJ,STA,>N,N<,P<,N<
47596,STA,>N,ACC,P<,N<,PASS
47597,>N,ACC,N<,N<,PASS,>N
47598,ACC,N<,P<,PASS,>N,P<
47599,N<,P<,N<,>N,P<,N<
47600,P<,N<,PASS,P<,N<,N<
47601,N<,PASS,>N,N<,N<,>N
47602,PASS,>N,P<,N<,>N,P<
47603,>N,P<,N<,>N,P<,PU
47604,P<,N<,N<,P<,PU,APP
47605,N<,N<,>N,PU,APP,PU
47606,N<,>N,P<,APP,PU,N<PRED
47607,>N,P<,PU,PU,N<PRED,P<
47608,P<,PU,APP,N<PRED,P<,
47609,PU,APP,PU,P<,,
47610,APP,PU,N<PRED,,,
47611,,,,>N,P<,>N
47612,,,ADVL,P<,>N,ACC
47613,,ADVL,>N,>N,ACC,PU
47614,ADVL,>N,P<,ACC,PU,>N
47615,>N,P<,>N,PU,>N,SUBJ
47616,P<,>N,ACC,>N,SUBJ,N<
47617,>N,ACC,PU,SUBJ,N<,>N
47618,ACC,PU,>N,N<,>N,P<
47619,PU,>N,SUBJ,>N,P<,STA
47620,>N,SUBJ,N<,P<,STA,>N
47621,SUBJ,N<,>N,STA,>N,ACC
47622,N<,>N,P<,>N,ACC,N<
47623,>N,P<,STA,ACC,N<,>N
47624,P<,STA,>N,N<,>N,P<
47625,STA,>N,ACC,>N,P<,ACC
47626,>N,ACC,N<,P<,ACC,>N
47627,ACC,N<,>N,ACC,>N,P<
47628,N<,>N,P<,>N,P<,N<
47629,>N,P<,ACC,P<,N<,>N
47630,P<,ACC,>N,N<,>N,P<
47631,ACC,>N,P<,>N,P<,N<
47632,>N,P<,N<,P<,N<,>N
47633,P<,N<,>N,N<,>N,P<
47634,N<,>N,P<,>N,P<,PU
47635,>N,P<,N<,P<,PU,
47636,P<,N<,>N,PU,,
47637,N<,>N,P<,,,
47638,,,,PRED,PU,PU
47639,,,ADVL,PU,PU,>N
47640,,ADVL,PRED,PU,>N,SUBJ
47641,ADVL,PRED,PU,>N,SUBJ,N<
47642,PRED,PU,PU,SUBJ,N<,PIV
47643,PU,PU,>N,N<,PIV,P<
47644,PU,>N,SUBJ,PIV,P<,N<
47645,>N,SUBJ,N<,P<,N<,STA
47646,SUBJ,N<,PIV,N<,STA,PRT-AUX
47647,N<,PIV,P<,STA,PRT-AUX,AUX
47648,PIV,P<,N<,PRT-AUX,AUX,MV
47649,P<,N<,STA,AUX,MV,PASS
47650,N<,STA,PRT-AUX,MV,PASS,>N
47651,STA,PRT-AUX,AUX,PASS,>N,P<
47652,PRT-AUX,AUX,MV,>N,P<,PU
47653,AUX,MV,PASS,P<,PU,PU
47654,MV,PASS,>N,PU,PU,
47655,PASS,>N,P<,PU,,
47656,>N,P<,PU,,,
47657,,,,>N,>N,SUBJ
47658,,,>A,>N,SUBJ,STA
47659,,>A,>N,SUBJ,STA,PIV
47660,>A,>N,>N,STA,PIV,>N
47661,>N,>N,SUBJ,PIV,>N,P<
47662,>N,SUBJ,STA,>N,P<,PU
47663,SUBJ,STA,PIV,P<,PU,ADVL
47664,STA,PIV,>N,PU,ADVL,>N
47665,PIV,>N,P<,ADVL,>N,P<
47666,>N,P<,PU,>N,P<,N<
47667,P<,PU,ADVL,P<,N<,PU
47668,PU,ADVL,>N,N<,PU,
47669,ADVL,>N,P<,PU,,
47670,>N,P<,N<,,,
47671,,,,SUBJ,N<,ADVL
47672,,,>N,N<,ADVL,STA
47673,,>N,SUBJ,ADVL,STA,ADVL
47674,>N,SUBJ,N<,STA,ADVL,PU
47675,SUBJ,N<,ADVL,ADVL,PU,
47676,N<,ADVL,STA,PU,,
47677,ADVL,STA,ADVL,,,
47678,,,,PIV,>N,P<
47679,,,PRED,>N,P<,N<
47680,,PRED,PIV,P<,N<,P<
47681,PRED,PIV,>N,N<,P<,PU
47682,PIV,>N,P<,P<,PU,APP
47683,>N,P<,N<,PU,APP,PU
47684,P<,N<,P<,APP,PU,STA
47685,N<,P<,PU,PU,STA,ADVL
47686,P<,PU,APP,STA,ADVL,ADVL
47687,PU,APP,PU,ADVL,ADVL,>N
47688,APP,PU,STA,ADVL,>N,P<
47689,PU,STA,ADVL,>N,P<,PU
47690,STA,ADVL,ADVL,P<,PU,
47691,ADVL,ADVL,>N,PU,,
47692,ADVL,>N,P<,,,
47693,,,,SUBJ,N<,P<
47694,,,>N,N<,P<,STA
47695,,>N,SUBJ,P<,STA,ACC
47696,>N,SUBJ,N<,STA,ACC,>N
47697,SUBJ,N<,P<,ACC,>N,N<
47698,N<,P<,STA,>N,N<,PU
47699,P<,STA,ACC,N<,PU,
47700,STA,ACC,>N,PU,,
47701,ACC,>N,N<,,,
47702,,,,SUBJ,ACC,SC
47703,,,PU,ACC,SC,ADVL
47704,,PU,SUBJ,SC,ADVL,>N
47705,PU,SUBJ,ACC,ADVL,>N,P<
47706,SUBJ,ACC,SC,>N,P<,PU
47707,ACC,SC,ADVL,P<,PU,PU
47708,SC,ADVL,>N,PU,PU,STA
47709,ADVL,>N,P<,PU,STA,SUBJ
47710,>N,P<,PU,STA,SUBJ,PU
47711,P<,PU,PU,SUBJ,PU,N<PRED
47712,PU,PU,STA,PU,N<PRED,>N
47713,PU,STA,SUBJ,N<PRED,>N,P<
47714,STA,SUBJ,PU,>N,P<,PU
47715,SUBJ,PU,N<PRED,P<,PU,
47716,PU,N<PRED,>N,PU,,
47717,N<PRED,>N,P<,,,
47718,,,,STA,SA,>N
47719,,,SUBJ,SA,>N,P<
47720,,SUBJ,STA,>N,P<,ADVL
47721,SUBJ,STA,SA,P<,ADVL,>N
47722,STA,SA,>N,ADVL,>N,P<
47723,SA,>N,P<,>N,P<,CO
47724,>N,P<,ADVL,P<,CO,CJT
47725,P<,ADVL,>N,CO,CJT,MV
47726,ADVL,>N,P<,CJT,MV,ADVL
47727,>N,P<,CO,MV,ADVL,>N
47728,P<,CO,CJT,ADVL,>N,P<
47729,CO,CJT,MV,>N,P<,PU
47730,CJT,MV,ADVL,P<,PU,
47731,MV,ADVL,>N,PU,,
47732,ADVL,>N,P<,,,
47733,,,,SUBJ,N<ARG,>N
47734,,,>N,N<ARG,>N,P<
47735,,>N,SUBJ,>N,P<,STA
47736,>N,SUBJ,N<ARG,P<,STA,MV
47737,SUBJ,N<ARG,>N,STA,MV,SC
47738,N<ARG,>N,P<,MV,SC,ADVL
47739,>N,P<,STA,SC,ADVL,SC
47740,P<,STA,MV,ADVL,SC,PU
47741,STA,MV,SC,SC,PU,
47742,MV,SC,ADVL,PU,,
47743,SC,ADVL,SC,,,
47744,,,,SA,>N,P<
47745,,,SUBJ,>N,P<,N<
47746,,SUBJ,SA,P<,N<,STA
47747,SUBJ,SA,>N,N<,STA,SC
47748,SA,>N,P<,STA,SC,P<
47749,>N,P<,N<,SC,P<,ADVL
47750,P<,N<,STA,P<,ADVL,>N
47751,N<,STA,SC,ADVL,>N,SUBJ
47752,STA,SC,P<,>N,SUBJ,P<
47753,SC,P<,ADVL,SUBJ,P<,PIV
47754,P<,ADVL,>N,P<,PIV,P<
47755,ADVL,>N,SUBJ,PIV,P<,ACC
47756,>N,SUBJ,P<,P<,ACC,PU
47757,SUBJ,P<,PIV,ACC,PU,CJT
47758,P<,PIV,P<,PU,CJT,CO
47759,PIV,P<,ACC,CJT,CO,CJT
47760,P<,ACC,PU,CO,CJT,>A
47761,ACC,PU,CJT,CJT,>A,N<
47762,PU,CJT,CO,>A,N<,CO
47763,CJT,CO,CJT,N<,CO,CJT
47764,CO,CJT,>A,CO,CJT,>N
47765,CJT,>A,N<,CJT,>N,P<
47766,>A,N<,CO,>N,P<,PU
47767,N<,CO,CJT,P<,PU,
47768,CO,CJT,>N,PU,,
47769,CJT,>N,P<,,,
47770,,,,SUBJ,N<,PU
47771,,,>N,N<,PU,N<PRED
47772,,>N,SUBJ,PU,N<PRED,N<
47773,>N,SUBJ,N<,N<PRED,N<,>N
47774,SUBJ,N<,PU,N<,>N,P<
47775,N<,PU,N<PRED,>N,P<,N<
47776,PU,N<PRED,N<,P<,N<,SUBJ
47777,N<PRED,N<,>N,N<,SUBJ,ACC
47778,N<,>N,P<,SUBJ,ACC,N<
47779,>N,P<,N<,ACC,N<,ADVL
47780,P<,N<,SUBJ,N<,ADVL,>N
47781,N<,SUBJ,ACC,ADVL,>N,P<
47782,SUBJ,ACC,N<,>N,P<,PU
47783,ACC,N<,ADVL,P<,PU,STA
47784,N<,ADVL,>N,PU,STA,>N
47785,ADVL,>N,P<,STA,>N,>N
47786,>N,P<,PU,>N,>N,ACC
47787,P<,PU,STA,>N,ACC,PIV
47788,PU,STA,>N,ACC,PIV,P<
47789,STA,>N,>N,PIV,P<,>N
47790,>N,>N,ACC,P<,>N,ACC
47791,>N,ACC,PIV,>N,ACC,N<ARGO
47792,ACC,PIV,P<,ACC,N<ARGO,>N
47793,PIV,P<,>N,N<ARGO,>N,P<
47794,P<,>N,ACC,>N,P<,N<
47795,>N,ACC,N<ARGO,P<,N<,PASS
47796,ACC,N<ARGO,>N,N<,PASS,>N
47797,N<ARGO,>N,P<,PASS,>N,P<
47798,>N,P<,N<,>N,P<,N<
47799,P<,N<,PASS,P<,N<,OC
47800,N<,PASS,>N,N<,OC,SC
47801,PASS,>N,P<,OC,SC,N<ARGO
47802,>N,P<,N<,SC,N<ARGO,>N
47803,P<,N<,OC,N<ARGO,>N,P<
47804,N<,OC,SC,>N,P<,SUBJ
47805,OC,SC,N<ARGO,P<,SUBJ,PU
47806,SC,N<ARGO,>N,SUBJ,PU,ADVL
47807,N<ARGO,>N,P<,PU,ADVL,P<
47808,>N,P<,SUBJ,ADVL,P<,PU
47809,P<,SUBJ,PU,P<,PU,N<
47810,SUBJ,PU,ADVL,PU,N<,PIV
47811,PU,ADVL,P<,N<,PIV,>N
47812,ADVL,P<,PU,PIV,>N,>N
47813,P<,PU,N<,>N,>N,P<
47814,PU,N<,PIV,>N,P<,PU
47815,N<,PIV,>N,P<,PU,
47816,PIV,>N,>N,PU,,
47817,>N,>N,P<,,,
47818,,,,>N,SUBJ,N<
47819,,,>N,SUBJ,N<,>N
47820,,>N,>N,N<,>N,P<
47821,>N,>N,SUBJ,>N,P<,N<
47822,>N,SUBJ,N<,P<,N<,PU
47823,SUBJ,N<,>N,N<,PU,N<PRED
47824,N<,>N,P<,PU,N<PRED,N<
47825,>N,P<,N<,N<PRED,N<,PU
47826,P<,N<,PU,N<,PU,STA
47827,N<,PU,N<PRED,PU,STA,SUB
47828,PU,N<PRED,N<,STA,SUB,>N
47829,N<PRED,N<,PU,SUB,>N,SUBJ
47830,N<,PU,STA,>N,SUBJ,N<
47831,PU,STA,SUB,SUBJ,N<,>N
47832,STA,SUB,>N,N<,>N,P<
47833,SUB,>N,SUBJ,>N,P<,ACC
47834,>N,SUBJ,N<,P<,ACC,ACC-PASS
47835,SUBJ,N<,>N,ACC,ACC-PASS,PIV
47836,N<,>N,P<,ACC-PASS,PIV,>N
47837,>N,P<,ACC,PIV,>N,PU
47838,P<,ACC,ACC-PASS,>N,PU,P<
47839,ACC,ACC-PASS,PIV,PU,P<,PU
47840,ACC-PASS,PIV,>N,P<,PU,ADVL
47841,PIV,>N,PU,PU,ADVL,>N
47842,>N,PU,P<,ADVL,>N,P<
47843,PU,P<,PU,>N,P<,N<
47844,P<,PU,ADVL,P<,N<,AUX
47845,PU,ADVL,>N,N<,AUX,MV
47846,ADVL,>N,P<,AUX,MV,ADVL
47847,>N,P<,N<,MV,ADVL,PIV
47848,P<,N<,AUX,ADVL,PIV,>N
47849,N<,AUX,MV,PIV,>N,P<
47850,AUX,MV,ADVL,>N,P<,PU
47851,MV,ADVL,PIV,P<,PU,N<PRED
47852,ADVL,PIV,>N,PU,N<PRED,ADVL
47853,PIV,>N,P<,N<PRED,ADVL,>N
47854,>N,P<,PU,ADVL,>N,P<
47855,P<,PU,N<PRED,>N,P<,PIV
47856,PU,N<PRED,ADVL,P<,PIV,>N
47857,N<PRED,ADVL,>N,PIV,>N,P<
47858,ADVL,>N,P<,>N,P<,PU
47859,>N,P<,PIV,P<,PU,
47860,P<,PIV,>N,PU,,
47861,PIV,>N,P<,,,
47862,,,,SUBJ,CO,>N
47863,,,CO,CO,>N,CJT
47864,,CO,SUBJ,>N,CJT,ADVL
47865,CO,SUBJ,CO,CJT,ADVL,STA
47866,SUBJ,CO,>N,ADVL,STA,>N
47867,CO,>N,CJT,STA,>N,ACC
47868,>N,CJT,ADVL,>N,ACC,ACC
47869,CJT,ADVL,STA,ACC,ACC,ACC
47870,ADVL,STA,>N,ACC,ACC,P<
47871,STA,>N,ACC,ACC,P<,PU
47872,>N,ACC,ACC,P<,PU,
47873,ACC,ACC,ACC,PU,,
47874,ACC,ACC,P<,,,
47875,,,,P<,PU,>N
47876,,,ADVL,PU,>N,SUBJ
47877,,ADVL,P<,>N,SUBJ,STA
47878,ADVL,P<,PU,SUBJ,STA,ADVL
47879,P<,PU,>N,STA,ADVL,P<
47880,PU,>N,SUBJ,ADVL,P<,>N
47881,>N,SUBJ,STA,P<,>N,P<
47882,SUBJ,STA,ADVL,>N,P<,PU
47883,STA,ADVL,P<,P<,PU,N<PRED
47884,ADVL,P<,>N,PU,N<PRED,>N
47885,P<,>N,P<,N<PRED,>N,P<
47886,>N,P<,PU,>N,P<,N<
47887,P<,PU,N<PRED,P<,N<,ADVL
47888,PU,N<PRED,>N,N<,ADVL,>N
47889,N<PRED,>N,P<,ADVL,>N,P<
47890,>N,P<,N<,>N,P<,N<
47891,P<,N<,ADVL,P<,N<,PU
47892,N<,ADVL,>N,N<,PU,
47893,ADVL,>N,P<,PU,,
47894,>N,P<,N<,,,
47895,,,,>N,P<,PU
47896,,,ADVL,P<,PU,>N
47897,,ADVL,>N,PU,>N,>N
47898,ADVL,>N,P<,>N,>N,SUBJ
47899,>N,P<,PU,>N,SUBJ,ADVL
47900,P<,PU,>N,SUBJ,ADVL,STA
47901,PU,>N,>N,ADVL,STA,ACC
47902,>N,>N,SUBJ,STA,ACC,N<
47903,>N,SUBJ,ADVL,ACC,N<,PU
47904,SUBJ,ADVL,STA,N<,PU,
47905,ADVL,STA,ACC,PU,,
47906,STA,ACC,N<,,,
47907,,,,STA,>N,ACC
47908,,,SUBJ,>N,ACC,N<
47909,,SUBJ,STA,ACC,N<,>N
47910,SUBJ,STA,>N,N<,>N,P<
47911,STA,>N,ACC,>N,P<,ADVL
47912,>N,ACC,N<,P<,ADVL,>N
47913,ACC,N<,>N,ADVL,>N,P<
47914,N<,>N,P<,>N,P<,PU
47915,>N,P<,ADVL,P<,PU,
47916,P<,ADVL,>N,PU,,
47917,ADVL,>N,P<,,,
47918,,,,SUBJ,>A,ADVL
47919,,,PU,>A,ADVL,ACC
47920,,PU,SUBJ,ADVL,ACC,SC
47921,PU,SUBJ,>A,ACC,SC,PASS
47922,SUBJ,>A,ADVL,SC,PASS,>N
47923,>A,ADVL,ACC,PASS,>N,P<
47924,ADVL,ACC,SC,>N,P<,N<
47925,ACC,SC,PASS,P<,N<,PU
47926,SC,PASS,>N,N<,PU,PU
47927,PASS,>N,P<,PU,PU,STA
47928,>N,P<,N<,PU,STA,PU
47929,P<,N<,PU,STA,PU,
47930,N<,PU,PU,PU,,
47931,PU,PU,STA,,,
47932,,,,SUBJ,N<,P<
47933,,,>N,N<,P<,ADVL
47934,,>N,SUBJ,P<,ADVL,STA
47935,>N,SUBJ,N<,ADVL,STA,ADVL
47936,SUBJ,N<,P<,STA,ADVL,ACC
47937,N<,P<,ADVL,ADVL,ACC,>N
47938,P<,ADVL,STA,ACC,>N,N<
47939,ADVL,STA,ADVL,>N,N<,ADVL
47940,STA,ADVL,ACC,N<,ADVL,P<
47941,ADVL,ACC,>N,ADVL,P<,>N
47942,ACC,>N,N<,P<,>N,>N
47943,>N,N<,ADVL,>N,>N,ACC
47944,N<,ADVL,P<,>N,ACC,PU
47945,ADVL,P<,>N,ACC,PU,
47946,P<,>N,>N,PU,,
47947,>N,>N,ACC,,,
47948,,,,>N,ACC,N<
47949,,,STA,ACC,N<,PU
47950,,STA,>N,N<,PU,>N
47951,STA,>N,ACC,PU,>N,>N
47952,>N,ACC,N<,>N,>N,N<PRED
47953,ACC,N<,PU,>N,N<PRED,N<
47954,N<,PU,>N,N<PRED,N<,P<
47955,PU,>N,>N,N<,P<,N<
47956,>N,>N,N<PRED,P<,N<,P<
47957,>N,N<PRED,N<,N<,P<,PU
47958,N<PRED,N<,P<,P<,PU,ADVL
47959,N<,P<,N<,PU,ADVL,>N
47960,P<,N<,P<,ADVL,>N,>N
47961,N<,P<,PU,>N,>N,P<
47962,P<,PU,ADVL,>N,P<,PU
47963,PU,ADVL,>N,P<,PU,
47964,ADVL,>N,>N,PU,,
47965,>N,>N,P<,,,
47966,,,,>N,SUBJ,PU
47967,,,ADVL,SUBJ,PU,>N
47968,,ADVL,>N,PU,>N,>N
47969,ADVL,>N,SUBJ,>N,>N,SUBJ
47970,>N,SUBJ,PU,>N,SUBJ,N<
47971,SUBJ,PU,>N,SUBJ,N<,>N
47972,PU,>N,>N,N<,>N,P<
47973,>N,>N,SUBJ,>N,P<,ADVL
47974,>N,SUBJ,N<,P<,ADVL,ACC
47975,SUBJ,N<,>N,ADVL,ACC,STA
47976,N<,>N,P<,ACC,STA,OA
47977,>N,P<,ADVL,STA,OA,>N
47978,P<,ADVL,ACC,OA,>N,P<
47979,ADVL,ACC,STA,>N,P<,N<
47980,ACC,STA,OA,P<,N<,P<
47981,STA,OA,>N,N<,P<,PU
47982,OA,>N,P<,P<,PU,
47983,>N,P<,N<,PU,,
47984,P<,N<,P<,,,
47985,,,,ADVL,>N,P<
47986,,,PU,>N,P<,PU
47987,,PU,ADVL,P<,PU,ADVL
47988,PU,ADVL,>N,PU,ADVL,ADVL
47989,ADVL,>N,P<,ADVL,ADVL,>N
47990,>N,P<,PU,ADVL,>N,ACC
47991,P<,PU,ADVL,>N,ACC,PU
47992,PU,ADVL,ADVL,ACC,PU,STA
47993,ADVL,ADVL,>N,PU,STA,PRT-AUX
47994,ADVL,>N,ACC,STA,PRT-AUX,AUX
47995,>N,ACC,PU,PRT-AUX,AUX,MV
47996,ACC,PU,STA,AUX,MV,>N
47997,PU,STA,PRT-AUX,MV,>N,ACC
47998,STA,PRT-AUX,AUX,>N,ACC,PU
47999,PRT-AUX,AUX,MV,ACC,PU,ADVL
48000,AUX,MV,>N,PU,ADVL,ADVL
48001,MV,>N,ACC,ADVL,ADVL,P<
48002,>N,ACC,PU,ADVL,P<,MV
48003,ACC,PU,ADVL,P<,MV,PU
48004,PU,ADVL,ADVL,MV,PU,
48005,ADVL,ADVL,P<,PU,,
48006,ADVL,P<,MV,,,
48007,,,,P<,PU,>N
48008,,,ADVL,PU,>N,SUBJ
48009,,ADVL,P<,>N,SUBJ,N<
48010,ADVL,P<,PU,SUBJ,N<,ADVL
48011,P<,PU,>N,N<,ADVL,ACC
48012,PU,>N,SUBJ,ADVL,ACC,STA
48013,>N,SUBJ,N<,ACC,STA,PIV
48014,SUBJ,N<,ADVL,STA,PIV,P<
48015,N<,ADVL,ACC,PIV,P<,>N
48016,ADVL,ACC,STA,P<,>N,>N
48017,ACC,STA,PIV,>N,>N,ACC
48018,STA,PIV,P<,>N,ACC,PU
48019,PIV,P<,>N,ACC,PU,
48020,P<,>N,>N,PU,,
48021,>N,>N,ACC,,,
48022,,,,SUBJ,PU,SUBJ
48023,,,>N,PU,SUBJ,ADVL
48024,,>N,SUBJ,SUBJ,ADVL,>N
48025,>N,SUBJ,PU,ADVL,>N,P<
48026,SUBJ,PU,SUBJ,>N,P<,N<
48027,PU,SUBJ,ADVL,P<,N<,N<PRED
48028,SUBJ,ADVL,>N,N<,N<PRED,>N
48029,ADVL,>N,P<,N<PRED,>N,ACC
48030,>N,P<,N<,>N,ACC,N<
48031,P<,N<,N<PRED,ACC,N<,PU
48032,N<,N<PRED,>N,N<,PU,STA
48033,N<PRED,>N,ACC,PU,STA,PRT-AUX
48034,>N,ACC,N<,STA,PRT-AUX,MV
48035,ACC,N<,PU,PRT-AUX,MV,ADVL
48036,N<,PU,STA,MV,ADVL,>N
48037,PU,STA,PRT-AUX,ADVL,>N,P<
48038,STA,PRT-AUX,MV,>N,P<,PU
48039,PRT-AUX,MV,ADVL,P<,PU,
48040,MV,ADVL,>N,PU,,
48041,ADVL,>N,P<,,,
48042,,,,PU,ADVL,STA
48043,,,ADVL,ADVL,STA,ACC
48044,,ADVL,PU,STA,ACC,SA
48045,ADVL,PU,ADVL,ACC,SA,>N
48046,PU,ADVL,STA,SA,>N,>N
48047,ADVL,STA,ACC,>N,>N,P<
48048,STA,ACC,SA,>N,P<,PU
48049,ACC,SA,>N,P<,PU,
48050,SA,>N,>N,PU,,
48051,>N,>N,P<,,,
48052,,,,P<,PU,ADVL
48053,,,ADVL,PU,ADVL,>N
48054,,ADVL,P<,ADVL,>N,P<
48055,ADVL,P<,PU,>N,P<,N<
48056,P<,PU,ADVL,P<,N<,P<
48057,PU,ADVL,>N,N<,P<,PU
48058,ADVL,>N,P<,P<,PU,>N
48059,>N,P<,N<,PU,>N,SUBJ
48060,P<,N<,P<,>N,SUBJ,STA
48061,N<,P<,PU,SUBJ,STA,PIV
48062,P<,PU,>N,STA,PIV,>N
48063,PU,>N,SUBJ,PIV,>N,P<
48064,>N,SUBJ,STA,>N,P<,PU
48065,SUBJ,STA,PIV,P<,PU,N<PRED
48066,STA,PIV,>N,PU,N<PRED,SUBJ
48067,PIV,>N,P<,N<PRED,SUBJ,N<
48068,>N,P<,PU,SUBJ,N<,>N
48069,P<,PU,N<PRED,N<,>N,ACC
48070,PU,N<PRED,SUBJ,>N,ACC,ADVL
48071,N<PRED,SUBJ,N<,ACC,ADVL,>N
48072,SUBJ,N<,>N,ADVL,>N,P<
48073,N<,>N,ACC,>N,P<,PU
48074,>N,ACC,ADVL,P<,PU,
48075,ACC,ADVL,>N,PU,,
48076,ADVL,>N,P<,,,
48077,,,,STA,PIV,>N
48078,,,SUBJ,PIV,>N,P<
48079,,SUBJ,STA,>N,P<,ADVL
48080,SUBJ,STA,PIV,P<,ADVL,P<
48081,STA,PIV,>N,ADVL,P<,X
48082,PIV,>N,P<,P<,X,P<
48083,>N,P<,ADVL,X,P<,
48084,P<,ADVL,P<,P<,,
48085,ADVL,P<,X,,,
48086,,,,SUBJ,STA,ADVL
48087,,,>N,STA,ADVL,P<
48088,,>N,SUBJ,ADVL,P<,X
48089,>N,SUBJ,STA,P<,X,P<
48090,SUBJ,STA,ADVL,X,P<,PIV
48091,STA,ADVL,P<,P<,PIV,>N
48092,ADVL,P<,X,PIV,>N,P<
48093,P<,X,P<,>N,P<,PU
48094,X,P<,PIV,P<,PU,N<PRED
48095,P<,PIV,>N,PU,N<PRED,P<
48096,PIV,>N,P<,N<PRED,P<,PU
48097,>N,P<,PU,P<,PU,ADVL
48098,P<,PU,N<PRED,PU,ADVL,A<
48099,PU,N<PRED,P<,ADVL,A<,>N
48100,N<PRED,P<,PU,A<,>N,P<
48101,P<,PU,ADVL,>N,P<,ADVL
48102,PU,ADVL,A<,P<,ADVL,>N
48103,ADVL,A<,>N,ADVL,>N,P<
48104,A<,>N,P<,>N,P<,N<
48105,>N,P<,ADVL,P<,N<,PU
48106,P<,ADVL,>N,N<,PU,ADVL
48107,ADVL,>N,P<,PU,ADVL,P<
48108,>N,P<,N<,ADVL,P<,PU
48109,P<,N<,PU,P<,PU,
48110,N<,PU,ADVL,PU,,
48111,PU,ADVL,P<,,,
48112,,,,ADVL,FOC,ACC
48113,,,>A,FOC,ACC,>N
48114,,>A,ADVL,ACC,>N,ACC
48115,>A,ADVL,FOC,>N,ACC,N<
48116,ADVL,FOC,ACC,ACC,N<,P<
48117,FOC,ACC,>N,N<,P<,>N
48118,ACC,>N,ACC,P<,>N,ACC
48119,>N,ACC,N<,>N,ACC,PU
48120,ACC,N<,P<,ACC,PU,PU
48121,N<,P<,>N,PU,PU,STA
48122,P<,>N,ACC,PU,STA,SUBJ
48123,>N,ACC,PU,STA,SUBJ,PU
48124,ACC,PU,PU,SUBJ,PU,
48125,PU,PU,STA,PU,,
48126,PU,STA,SUBJ,,,
48127,,,,>N,P<,PU
48128,,,ADVL,P<,PU,STA
48129,,ADVL,>N,PU,STA,>N
48130,ADVL,>N,P<,STA,>N,>N
48131,>N,P<,PU,>N,>N,SUBJ
48132,P<,PU,STA,>N,SUBJ,N<
48133,PU,STA,>N,SUBJ,N<,>N
48134,STA,>N,>N,N<,>N,P<
48135,>N,>N,SUBJ,>N,P<,ADVL
48136,>N,SUBJ,N<,P<,ADVL,P<
48137,SUBJ,N<,>N,ADVL,P<,>N
48138,N<,>N,P<,P<,>N,ACC
48139,>N,P<,ADVL,>N,ACC,PU
48140,P<,ADVL,P<,ACC,PU,
48141,ADVL,P<,>N,PU,,
48142,P<,>N,ACC,,,
48143,,,,PU,N<PRED,N<
48144,,,SUBJ,N<PRED,N<,>N
48145,,SUBJ,PU,N<,>N,P<
48146,SUBJ,PU,N<PRED,>N,P<,N<
48147,PU,N<PRED,N<,P<,N<,P<
48148,N<PRED,N<,>N,N<,P<,PU
48149,N<,>N,P<,P<,PU,STA
48150,>N,P<,N<,PU,STA,>N
48151,P<,N<,P<,STA,>N,ACC
48152,N<,P<,PU,>N,ACC,ADVL
48153,P<,PU,STA,ACC,ADVL,>N
48154,PU,STA,>N,ADVL,>N,>N
48155,STA,>N,ACC,>N,>N,P<
48156,>N,ACC,ADVL,>N,P<,PU
48157,ACC,ADVL,>N,P<,PU,
48158,ADVL,>N,>N,PU,,
48159,>N,>N,P<,,,
48160,,,,SUBJ,P<,>N
48161,,,ADVL,P<,>N,ACC
48162,,ADVL,SUBJ,>N,ACC,PU
48163,ADVL,SUBJ,P<,ACC,PU,ADVL
48164,SUBJ,P<,>N,PU,ADVL,>N
48165,P<,>N,ACC,ADVL,>N,P<
48166,>N,ACC,PU,>N,P<,>N
48167,ACC,PU,ADVL,P<,>N,>N
48168,PU,ADVL,>N,>N,>N,SUBJ
48169,ADVL,>N,P<,>N,SUBJ,STA
48170,>N,P<,>N,SUBJ,STA,SC
